id,name,text,trans
0000000000000,清夏,いってらっしゃーい。\n迷わないで戻ってきなよーっ。,路上小心哦～\n可别迷路要记得回来呀～
0000000000000,清夏,それにしてもウォークラリーの参加者、\nめっちゃいるねー。,不过话说回来参加徒步大会的人\n真的超多呢～
select,,観光のついで\nかも,可能是顺道\n观光吧
select,,健康ブーム\nですから,因为现在是\n健康热潮嘛
select,,清夏さんが\nいるからかも,说不定是因为\n清夏同学在呢
0000000000000,清夏,あー、そっか。チェックポイントって\n観光名所が多いもんね。,啊～对哦。检查点基本都是\n著名景点来着
0000000000000,{user},みんな元気に楽しんでいた。\n清夏さんの応援が届いたかな。,大家都活力满满地享受着活动呢。\n看来清夏同学的应援传达到了呢。
0000000000000,清夏,めっちゃ歩きまわる必要あるのに、\nみんな元気だわー。,明明需要走这么多路\n大家还是这么有精神啊～
0000000000000,{user},みんな元気に楽しんでいた。\n清夏さんの応援が届いたかな。,大家都活力满满地享受着活动呢。\n看来清夏同学的应援传达到了呢。
0000000000000,清夏,あたしが受付やってるから？\nならサービスしないとね～♪,因为是我在负责接待？\n那可得好好服务才行呢～♪
0000000000000,{user},みんな元気に楽しんでいた。\n清夏さんの応援が届いたかな。,大家都活力满满地享受着活动呢。\n看来清夏同学的应援传达到了呢。
info,adv_pevent_002_ssmk_sales_2-006-01.txt,,
译者,,,
