id,name,text,trans
0000000000000,千奈,先生っ、わたくし悩んでいますの！\nどうか相談に乗ってくださいませっ！,老师，我有烦恼！\n请务必给我一些建议！
0000000000000,{user},よろこんで。どうしました？,乐意之至。怎么了？
0000000000000,千奈,わたくしがライブをすることになった、\nハロウィンステージのことですわ。,是关于我要参加的\n万圣节舞台演出的事情。
0000000000000,{user},レッスンは順調だと聞いていますが。,听说你训练进行得很顺利。
0000000000000,千奈,はいっ！　歌詞も振り付けも、\nしっかり覚えましたわ！,是的！歌词和舞步\n我都牢牢记住啦！
0000000000000,{user},なんと……以前はあれほど\n苦労していたのに。,真是……明明以前\n还那么吃力的说。
0000000000000,{user},成長していますね。,成长了呢。
0000000000000,千奈,うふふっ、\nありがとうございます、先生。,呵呵，\n谢谢您，老师。
0000000000000,千奈,ですが……わたくしが今回、\n悩んでいるのは……,但是……这次\n困扰我的其实是……
0000000000000,千奈,歌詞や振り付けを覚えること――\nでは、ないのです。,并不是记住歌词和舞步\n这件事——
0000000000000,千奈,ステージでハロウィンの楽しさを……\nどう表現したらいいのか、と。,而是该如何在舞台上表现出\n万圣节的欢乐氛围……
0000000000000,千奈,映像や本で、色々と\n勉強してはみたものの……,虽然通过影像和书籍\n做了很多功课……
0000000000000,千奈,あまり上手くいってはおりませんの。,但效果总是不太理想。
0000000000000,{user},倉本さん。\nアイドルのステージとは、ただ……,仓本同学。\n偶像的舞台表演啊，可不是仅仅……
0000000000000,{user},振り付け通りに踊り、\n歌詞の通りに歌う――,按照舞步来跳，\n照着歌词来唱——
0000000000000,千奈,――そういうものでは、\nありませんものね。,——这么简单的事情呢。
0000000000000,千奈,わたくしの心が、表現したいものを\n理解していませんと。,我的心还没有真正理解\n想要表达的东西。
0000000000000,{user},その通り。では、ハロウィンを\nより深く理解しましょう。,没错。那么我们就来\n更深入地了解万圣节吧。
0000000000000,千奈,はいっ、先生！　\nどうすればよろしいのでしょう？,好的，老师！\n具体该怎么做呢？
0000000000000,{user},ハロウィン本番よりも前……\nできればすぐにでも。,在万圣节正式演出之前……\n最好能尽快开始。
0000000000000,{user},この家でハロウィンの練習パーティを\n開きましょう。,就在这栋房子里举办万圣节训练派对吧。
0000000000000,千奈,あらっ……なんだか楽しそうですわ。,哎呀……听起来很有趣呢。
0000000000000,{user},こんなこともあろうかと、\n倉本家の皆様とは打ち合わせ済みです。,考虑到可能会有这种情况，\n已经提前和仓本家的各位商量好了。
0000000000000,倉本家のメイド,パーティの準備は、\n我々にお任せください。,派对的准备工作，\n就交给我们吧。
0000000000000,{user},お手本ライブをしていただく、\n<em\=>アーティスト</em>の手配はこちらで。,负责示范演出的\n<em\=>艺人</em>由这边来安排。
0000000000000,千奈,まぁっ！　まぁっ！,哎呀！哎呀！
0000000000000,千奈,なにもかもが、ものすごい勢いで\n決まっていきますわ……！,所有事项都以惊人的速度\n敲定了呢……！
0000000000000,倉本家のメイド,お嬢様、お友達を誘ってみては\nいかがでしょう？,大小姐，要不要邀请朋友们\n一起来呢？
0000000000000,千奈,いいですわね！　\nきっと喜んでいただけますわっ！,这个主意真好！\n大家一定会很开心的！
0000000000000,{user},仮装イベントの時間も設けましょう。,还要预留变装活动的时间哦。
0000000000000,千奈,まあ……まるで本物の\nハロウィンのよう！,天啊……简直就像真正的\n万圣节一样！
0000000000000,{user},レッスンは本番のように。\n本番はレッスンのように、です。,训练要像正式演出般认真，\n正式演出要像训练般从容。
0000000000000,千奈,はいっ、先生！,是，老师！
0000000000000,千奈,この素敵なレッスンでわたくし――,通过这么棒的训练课程，我——
0000000000000,千奈,ハロウィンを理解してみせますともっ！,一定会让大家见识到我理解的万圣节精神！
info,adv_cidol-kcna-3-002_01.txt,,
译者,,,
